budget,genres,homepage,id,keywords,original_language,original_title,overview,viewercount,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_count,vote_average
60000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 878, ""name"": ""Science Fiction""}]",http://www.sonypictures.com/movies/residentevilafterlife/site/,35791,"[{""id"": 4458, ""name"": ""post-apocalyptic""}, {""id"": 4565, ""name"": ""dystopia""}, {""id"": 10327, ""name"": ""undead""}, {""id"": 11131, ""name"": ""biohazard""}, {""id"": 11738, ""name"": ""evil corporation""}, {""id"": 12102, ""name"": ""resident evil""}, {""id"": 12377, ""name"": ""zombie""}, {""id"": 41645, ""name"": ""based on video game""}, {""id"": 179431, ""name"": ""duringcreditsstinger""}, {""id"": 209714, ""name"": ""3d""}]",en,Resident Evil: Afterlife,"In a world ravaged by a virus infection, turning its victims into the Undead, Alice continues on her journey to find survivors and lead them to safety. Her deadly battle with the Umbrella Corporation reaches new heights, but Alice gets some unexpected help from an old friend. A new lead that promises a safe haven from the Undead takes them to Los Angeles, but when they arrive the city is overrun by thousands of Undead - and Alice and her comrades are about to step into a deadly trap.",2.143764,"[{""name"": ""Impact Pictures"", ""id"": 248}, {""name"": ""Davis-Films"", ""id"": 342}, {""name"": ""Constantin Film Produktion"", ""id"": 5755}]","[{""iso_3166_1"": ""DE"", ""name"": ""Germany""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""FR"", ""name"": ""France""}, {""iso_3166_1"": ""CA"", ""name"": ""Canada""}]",9/9/2010,300228084,97,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}, {""iso_639_1"": ""ja"", ""name"": ""\u65e5\u672c\u8a9e""}]",Released,She's back...And she's bringing a few of her friends.,Resident Evil: Afterlife,1363,5.8
14000000,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 14, ""name"": ""Fantasy""}]",,11596,"[{""id"": 657, ""name"": ""fire""}, {""id"": 1930, ""name"": ""kidnapping""}, {""id"": 3030, ""name"": ""nightmare""}, {""id"": 3521, ""name"": ""earthquake""}, {""id"": 4142, ""name"": ""insomnia""}, {""id"": 6152, ""name"": ""supernatural""}, {""id"": 6562, ""name"": ""celebrity""}, {""id"": 6732, ""name"": ""mascot""}, {""id"": 9820, ""name"": ""alternate dimension""}, {""id"": 10232, ""name"": ""fame""}, {""id"": 11612, ""name"": ""hospital""}, {""id"": 12396, ""name"": ""hollywood""}, {""id"": 47020, ""name"": ""storytelling""}, {""id"": 156282, ""name"": ""alternate reality""}, {""id"": 160612, ""name"": ""self-referential""}, {""id"": 161184, ""name"": ""reboot""}, {""id"": 166329, ""name"": ""film industry""}, {""id"": 170383, ""name"": ""disfigurement""}, {""id"": 179878, ""name"": ""sleepwalking""}, {""id"": 212435, ""name"": ""meta film""}, {""id"": 225209, ""name"": ""dreams""}, {""id"": 232999, ""name"": ""cameos""}]",en,New Nightmare,"Freddy's back … and he's badder than ever! Nancy, the historical nemesis of the man with the satanic snarl and pitchfork fingers, discovers that a new monstrous demon has taken on Freddy's persona. Can Nancy stop this new threat in time to save her son?",14.730796,"[{""name"": ""New Line Cinema"", ""id"": 12}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",10/13/1994,18090181,112,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,"One, Two, Freddy's coming for you...",New Nightmare,291,6.4
25000000,"[{""id"": 18, ""name"": ""Drama""}]",,22256,"[{""id"": 795, ""name"": ""running""}, {""id"": 2070, ""name"": ""olympic games""}, {""id"": 6075, ""name"": ""sport""}, {""id"": 10456, ""name"": ""athlete""}]",en,Without Limits,"The film follows the life of famous 1970s runner Steve Prefontaine from his youth days in Oregon to the University of Oregon where he worked with the legendary coach Bill Bowerman, later to Olympics in Munich and his early death at 24 in a car crash.",3.849873,"[{""name"": ""Cruise/Wagner Productions"", ""id"": 44}, {""name"": ""Warner Bros."", ""id"": 6194}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",9/11/1998,777423,117,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,PRE. The way he competed. The way he lived his life.,Without Limits,19,6.2
7800000,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]",http://www.marsdistribution.com/xml/flash.html?cfilm=46022,302,"[{""id"": 212, ""name"": ""london england""}, {""id"": 293, ""name"": ""female nudity""}, {""id"": 515, ""name"": ""women""}, {""id"": 548, ""name"": ""countryside""}, {""id"": 818, ""name"": ""based on novel""}, {""id"": 1552, ""name"": ""subway""}, {""id"": 1649, ""name"": ""provence""}, {""id"": 1655, ""name"": ""country house""}, {""id"": 1731, ""name"": ""writing""}, {""id"": 1732, ""name"": ""innkeeper""}, {""id"": 2200, ""name"": ""generations confilct""}, {""id"": 3737, ""name"": ""dying and death""}, {""id"": 5600, ""name"": ""daughter""}, {""id"": 8181, ""name"": ""swimming pool""}, {""id"": 9826, ""name"": ""murder""}, {""id"": 9937, ""name"": ""suspense""}, {""id"": 10818, ""name"": ""author""}, {""id"": 14964, ""name"": ""drug""}]",en,Swimming Pool,"In the middle of this amusing thriller is a relationship between two different types of females, one is a well know British author and the other is a sex-crazed French teen. The two get into some relationship trouble while living together in this film of psychological imagery and an erotic exploration of the female body.",11.000654,"[{""name"": ""France 2 Cin\u00e9ma"", ""id"": 83}, {""name"": ""Canal Plus"", ""id"": 104}, {""name"": ""Fid\u00e9lit\u00e9 Productions"", ""id"": 147}, {""name"": ""Gimages"", ""id"": 148}, {""name"": ""FOZ"", ""id"": 149}, {""name"": ""Headforce Ltd."", ""id"": 150}]","[{""iso_3166_1"": ""FR"", ""name"": ""France""}, {""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}]",5/18/2003,22441323,102,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}]",Released,"On the surface, all is calm",Swimming Pool,153,6.4
50000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 9648, ""name"": ""Mystery""}]",,2649,"[{""id"": 380, ""name"": ""brother brother relationship""}, {""id"": 1421, ""name"": ""birthday""}, {""id"": 3883, ""name"": ""danger of life""}, {""id"": 5732, ""name"": ""birthday party""}, {""id"": 173303, ""name"": ""surprising""}]",en,The Game,"In honor of his birthday, San Francisco banker Nicholas Van Orton, a financial genius and a coldhearted loner, receives an unusual present from his younger brother, Conrad -- a gift certificate to play a unique kind of game. In nearly a nanosecond, Nicholas finds himself consumed by a dangerous set of ever-changing rules, unable to distinguish where the charade ends and reality begins.",62.925175,"[{""name"": ""PolyGram Filmed Entertainment"", ""id"": 1382}, {""name"": ""A&B Producoes"", ""id"": 1519}, {""name"": ""Popaganda Films"", ""id"": 10164}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",9/12/1997,109423648,129,"[{""iso_639_1"": ""cn"", ""name"": ""\u5e7f\u5dde\u8bdd / \u5ee3\u5dde\u8a71""}, {""iso_639_1"": ""de"", ""name"": ""Deutsch""}, {""iso_639_1"": ""en"", ""name"": ""English""}]",Released,What do you get for the man who has everything?,The Game,1506,7.5
60000000,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 10749, ""name"": ""Romance""}]",,628,"[{""id"": 90, ""name"": ""paris""}, {""id"": 582, ""name"": ""san francisco""}, {""id"": 3133, ""name"": ""vampire""}, {""id"": 3136, ""name"": ""plantation""}, {""id"": 3143, ""name"": ""pity""}, {""id"": 4197, ""name"": ""bite""}, {""id"": 231407, ""name"": ""fang vamp""}]",en,Interview with the Vampire,"A vampire relates his epic life story of love, betrayal, loneliness, and dark hunger to an over-curious reporter.",50.163785,"[{""name"": ""Geffen Pictures"", ""id"": 360}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",11/11/1994,223664608,123,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}]",Released,Drink from me and live forever,Interview with the Vampire,1516,7.2
50000000,"[{""id"": 35, ""name"": ""Comedy""}]",http://www.zoolander.com/,329833,"[{""id"": 6241, ""name"": ""stupidity""}, {""id"": 9663, ""name"": ""sequel""}, {""id"": 15479, ""name"": ""fashion""}, {""id"": 167193, ""name"": ""male model""}, {""id"": 167200, ""name"": ""fashion model""}, {""id"": 173242, ""name"": ""modeling""}]",en,Zoolander 2,Derek and Hansel are modelling again when an opposing company attempts to take them out from the business.,37.253774,"[{""name"": ""Scott Rudin Productions"", ""id"": 258}, {""name"": ""Red Hour Films"", ""id"": 12178}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2/6/2016,55969000,100,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Long time no Z,Zoolander 2,797,4.7
8000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 10749, ""name"": ""Romance""}]",,2619,"[{""id"": 1338, ""name"": ""bachelor""}, {""id"": 5938, ""name"": ""mermaid""}]",en,Splash,"A successful businessman falls in love with the girl of his dreams. There's one big complication though; he's fallen hook, line and sinker for a mermaid.",21.735068,"[{""name"": ""Touchstone Pictures"", ""id"": 9195}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",3/9/1984,69821334,111,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""it"", ""name"": ""Italiano""}]",Released,Allen Bauer Thought He'd Never Find The Right Woman... He Was Only Half Wrong!,Splash,321,6.1
6500000,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}]",,11033,"[{""id"": 108, ""name"": ""transvestism""}, {""id"": 444, ""name"": ""taxi""}, {""id"": 549, ""name"": ""prostitute""}, {""id"": 1552, ""name"": ""subway""}, {""id"": 1879, ""name"": ""shower""}, {""id"": 2864, ""name"": ""one-night stand""}, {""id"": 2887, ""name"": ""manipulation""}, {""id"": 3030, ""name"": ""nightmare""}, {""id"": 3182, ""name"": ""seduction""}, {""id"": 6025, ""name"": ""photography""}, {""id"": 6054, ""name"": ""friendship""}, {""id"": 6093, ""name"": ""assault""}, {""id"": 9181, ""name"": ""alter ego""}, {""id"": 9826, ""name"": ""murder""}, {""id"": 10333, ""name"": ""stalking""}, {""id"": 14819, ""name"": ""violence""}, {""id"": 15106, ""name"": ""psychiatrist""}, {""id"": 15271, ""name"": ""interrogation""}, {""id"": 33513, ""name"": ""desire""}, {""id"": 33720, ""name"": ""guilt""}, {""id"": 34094, ""name"": ""extramarital affair""}, {""id"": 155440, ""name"": ""hitchcockian""}, {""id"": 158203, ""name"": ""straight razor""}, {""id"": 169815, ""name"": ""exhibitionism""}, {""id"": 188960, ""name"": ""elevator""}, {""id"": 193282, ""name"": ""dark secrets""}, {""id"": 227035, ""name"": ""white gloves""}]",en,Dressed to Kill,"A mysterious, tall, blonde woman, wearing sunglasses murders one of a psychiatrist's patients, and now she's after the prostitute who witnessed it.",11.208769,"[{""name"": ""Filmways Pictures"", ""id"": 1138}, {""name"": ""Cinema 77 Films"", ""id"": 10317}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",6/25/1980,31899000,105,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,The Latest Fashion In Murder,Dressed to Kill,157,6.8
38000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 37, ""name"": ""Western""}]",http://www.truegritmovie.com/,44264,"[{""id"": 1872, ""name"": ""loss of father""}, {""id"": 2123, ""name"": ""father murder""}, {""id"": 5901, ""name"": ""texas ranger""}, {""id"": 7464, ""name"": ""alcoholism""}, {""id"": 10085, ""name"": ""betrayal""}]",en,True Grit,"Following the murder of her father by hired hand Tom Chaney, 14-year-old farm girl Mattie Ross sets out to capture the killer. To aid her, she hires the toughest U.S. Marshal she can find, a man with ""true grit,"" Reuben J. ""Rooster"" Cogburn. Mattie insists on accompanying Cogburn, whose drinking, sloth, and generally reprobate character do not augment her faith in him. Against his wishes, she joins him in his trek into the Indian Nations in search of Chaney. They are joined by Texas Ranger LaBoeuf, who wants Chaney for his own purposes. The unlikely trio find danger and adventure on the journey, and each has his or her ""grit"" tested.",49.292384,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Scott Rudin Productions"", ""id"": 258}, {""name"": ""Mike Zoss Productions"", ""id"": 2092}, {""name"": ""Skydance Productions"", ""id"": 6277}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",12/22/2010,252276927,110,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Punishment Comes One Way or Another.,True Grit,1668,7.2
